name,train_time,test_time,train_score,test_score,accuracy,f1,precision,recall,roc_auc,threshold
GRU,124.53477499997825,2.1237838999950327,0.9937122128174123,0.9864603481624759,0.9864603481624759,0.9444444444444444,0.9834710743801653,0.9083969465648855,0.996073309494222,0.6299999999999997
LSTM,61.786630999995396,1.6953779000032227,0.9961305925030229,0.9845261121856866,0.9845261121856866,0.9365079365079365,0.9752066115702479,0.9007633587786259,0.994653107115383,0.5799999999999997
MultinomialNB + TFIDF,0.0024116999993566424,0.0005586000042967498,0.9973397823458283,0.9864603481624759,0.9864603481624759,0.944,0.9915966386554622,0.9007633587786259,0.9940951704665534,0.5199999999999998
BILSTM,98.29002889999538,4.893195100012235,0.9905683192261185,0.9816247582205029,0.9816247582205029,0.9277566539923955,0.9242424242424242,0.9312977099236641,0.993799294970962,0.48999999999999977
SIMPLERNN,41.42231669998728,0.49102200000197627,0.992744860943168,0.9806576402321083,0.9806576402321083,0.9242424242424242,0.9172932330827067,0.9312977099236641,0.9921592993668265,0.5699999999999997
MultinomialNB + CountVectorizer,0.0016537999908905476,0.0005660000024363399,0.9968561064087061,0.9864603481624759,0.9864603481624759,0.9448818897637795,0.975609756097561,0.916030534351145,0.9847962263193933,0.8599999999999995
